Id,Full_School_Name,School,Full_Conference,Conference_id,Adj. RPI,Division,Type,City,State,State_id
680,McKendree University,McKendree,Great Lakes ,3,56,2,Women,Lebanon,Illinois,17
681,West Liberty University,West Liberty,Southeast,5,57,2,Women,West Liberty,West Virginia,54
682,,Fairmont St.,,0,58,2,Women,,,0
683,,Cal St. San Marcos,,0,59,2,Women,,,0
684,,Northern Mich.,,0,60,2,Women,,,0
685,,MSU Denver,,0,61,2,Women,,,0
686,,Northwest Mo. St.,,0,62,2,Women,,,0
687,,Mo. Southern St.,,0,63,2,Women,,,0
688,Pace University,Pace,Mid East ,2,64,2,Women,Pleasantville,New York,36
689,Azusa Pacific University,Azusa Pacific,Far West ,8,65,2,Women,Azusa,California,6
690,,Embry-Riddle (FL),,0,66,2,Women,,,0
691,Holy Family University,Holy Family,Mid East ,2,67,2,Women,Philadelphia,Pennsylvania,42
692,Wingate University,Wingate,Southeast,5,68,2,Women,Wingate,North Carolina,37
693,Barton College,Barton,Southeast,5,69,2,Women,Wilson,North Carolina,37
694,Southern Wesleyan University,Southern Wesleyan,Southeast,5,70,2,Women,Central,South Carolina,45
695,,Jefferson,,0,70,2,Women,,,0
696,,St. Cloud St.,,0,72,2,Women,,,0
697,,Texas-Tyler,,0,73,2,Women,,,0
698,University of Bridgeport,Bridgeport,New England ,1,74,2,Women,Bridgeport,Connecticut,9
699,,West Tex. A&M,,0,75,2,Women,,,0
700,,Ill. Springfield,,0,76,2,Women,,,0
701,,Bemidji St.,,0,77,2,Women,,,0
702,Texas A&M University–Commerce,Tex. A&M-Commerce,Southwest ,6,78,2,Women,Commerce,Texas,48
703,,USC Aiken,,0,79,2,Women,,,0
704,,Cal St. San B'dino,,0,80,2,Women,,,0
705,Lewis University,Lewis,Great Lakes ,3,81,2,Women,Romeoville,Illinois,17
706,,Neb.-Kearney,,0,82,2,Women,,,0
707,,Central Wash.,,0,83,2,Women,,,0
708,,Valdosta St.,,0,84,2,Women,,,0
709,Northwest Nazarene University,Northwest Nazarene,Rocky Mountains ,7,85,2,Women,Nampa,Idaho,16
710,Davis & Elkins College,Davis & Elkins,Southeast,5,85,2,Women,Elkins,West Virginia,54
711,Barry University,Barry,Southeast,5,87,2,Women,Miami Shores,Florida,12
712,,Rogers St.,,0,88,2,Women,,,0
713,,Concordia (CA),,0,89,2,Women,,,0
714,,West Ala.,,0,90,2,Women,,,0
715,Lock Haven,Lock Haven,Mid East ,2,91,2,Women,Lock Haven,pennsylvania,42
716,,Cal State LA,,0,92,2,Women,,,0
717,Bentley University,Bentley,New England ,1,93,2,Women,Waltham,Massachusetts,25
718,,Florida Tech,,0,94,2,Women,,,0
719,Saint Martin's University,Saint Martin's,Far West ,8,95,2,Women,Lacey,Washington,53
720,Young Harris College,Young Harris,Southeast,5,96,2,Women,Young Harris,Georgia,13
721,Molloy College,Molloy,Mid East ,2,97,2,Women,Rockville Centre,New York,36
722,Lincoln Memorial University,Lincoln Memorial,Southeast,5,98,2,Women,Harrogate,Tennessee,47
723,,Fort Hays St.,,0,99,2,Women,,,0
724,,Concordia-St. Paul,,0,100,2,Women,,,0
725,Catawba College,Catawba,Southeast,5,101,2,Women,Salisbury,North Carolina,37
726,,Shippensburg,,0,102,2,Women,,,0
727,,Northeastern St.,,0,103,2,Women,,,0
728,,Humboldt St.,,0,104,2,Women,,,0
729,,Cal St. Dom. Hills,,0,105,2,Women,,,0
730,,Edinboro,,0,106,2,Women,,,0
731,Newberry College,Newberry,Southeast,5,107,2,Women,Newberry,South Carolina,45
732,,Ky. Wesleyan,,0,108,2,Women,,,0
733,University of Mount Olive,Mount Olive,Southeast,5,109,2,Women,Mount Olive,North Carolina,37
734,Stonehill College,Stonehill,New England ,1,110,2,Women,Easton,Massachusetts,25
735,Tiffin University,Tiffin,Great Lakes ,3,111,2,Women,Tiffin,Ohio,39
736,Lynn University,Lynn,Southeast,5,112,2,Women,Boca Raton,Florida,12
737,,Michigan Tech,,0,113,2,Women,,,0
738,Chaminade University of Honolulu,Chaminade,,0,114,2,Women,Honolulu,Hawai'i,
739,Assumption University,Assumption,New England ,1,115,2,Women,Worcester,Massachusetts,25
740,Shepherd University,Shepherd,Southeast,5,116,2,Women,Shepherdstown,West Virginia,54
741,,Hawaii Hilo,,0,117,2,Women,,,0
742,,West Va. Wesleyan,,0,118,2,Women,,,0
743,Ohio Dominican University,Ohio Dominican,Great Lakes ,3,119,2,Women,Columbus,Ohio,39
744,,Palm Beach Atl.,,0,120,2,Women,,,0
745,,Indiana (PA),,0,121,2,Women,,,0
746,,Converse,,0,122,2,Women,,,0
747,Ashland University,Ashland,Great Lakes ,3,123,2,Women,Ashland,Ohio,39
748,Georgian Court University,Georgian Court,Mid East ,2,124,2,Women,Lakewood,New Jersey,34
749,University of Tampa,Tampa,Southeast,5,125,2,Women,Tampa,Florida,12
750,Francis Marion University,Francis Marion,Southeast,5,126,2,Women,Florence,South Carolina,45
751,,Regis (CO),,0,127,2,Women,,,0
752,Mercyhurst University,Mercyhurst,Mid East ,2,128,2,Women,Erie,Pennsylvania,42
753,,Saginaw Valley,,0,129,2,Women,,,0
754,,Wilmington (DE),,0,130,2,Women,,,0
755,Limestone University,Limestone,Southeast,5,131,2,Women,Gaffney,South Carolina,45
756,,Hawaii Pacific,,0,132,2,Women,,,0
757,,Maryville (MO),,0,133,2,Women,,,0
758,,Mansfield,,0,134,2,Women,,,0
759,,King (TN),,0,135,2,Women,,,0
760,Colorado Mesa University,Colorado Mesa,Rocky Mountains ,7,136,2,Women,Grand Junction,Colorado,8
761,,Westminster (UT),,0,137,2,Women,,,0
762,Newman University,Newman,Plains ,4,138,2,Women,Wichita,Kansas,20
763,,Okla. Christian,,0,139,2,Women,,,0
764,Le Moyne College,Le Moyne,Mid East ,2,140,2,Women,Syracuse,New York,36
765,,Queens (NC),,0,141,2,Women,,,0
766,Adelphi University,Adelphi,Mid East ,2,142,2,Women,Garden City,New York,36
767,Wheeling University,Wheeling,Southeast,5,143,2,Women,Wheeling,West Virginia,54
768,,Pitt.-Johnstown,,0,144,2,Women,,,0
769,,Frostburg St.,,0,145,2,Women,,,0
770,,Winona St.,,0,146,2,Women,,,0
771,,New York Tech,,0,146,2,Women,,,0
772,Saint Leo University,Saint Leo,Southeast,5,148,2,Women,St. Leo,Florida,12
773,,Concordia Portland,,0,149,2,Women,,,0
774,,Southern Conn. St.,,0,150,2,Women,,,0
775,,Sonoma St.,,0,151,2,Women,,,0
776,Eckerd College,Eckerd,Southeast,5,152,2,Women,St. Petersburg,Florida,12
777,,Cal Poly Pomona,,0,153,2,Women,,,0
778,,Cal St. East Bay,,0,154,2,Women,,,0
779,,Cal U (PA),,0,155,2,Women,,,0
780,University of Mary,Mary,Plains ,4,156,2,Women,Bismarck,North Dakota,38
781,,Colo. Christian,,0,157,2,Women,,,0
782,,Union (TN),,0,158,2,Women,,,0
783,North Greenville University,North Greenville,Southeast,5,159,2,Women,Tigerville,South Carolina,45
784,,Millersville,,0,160,2,Women,,,0
785,Concord University,Concord,Southeast,5,161,2,Women,Athens,West Virginia,54
786,,Western Ore.,,0,162,2,Women,,,0
787,,Fla. Southern,,0,163,2,Women,,,0
788,,Delta St.,,0,164,2,Women,,,0
789,Drury University,Drury,Plains ,4,165,2,Women,Springfield,Missouri,29
790,William Jewell College,William Jewell,Plains ,4,166,2,Women,Liberty,Missouri,29
791,,American Int'l,,0,167,2,Women,,,0
792,Bloomfield College,Bloomfield,Mid East ,2,168,2,Women,Bloomfield,New Jersey,34
793,,St. Anselm,,0,169,2,Women,,,0
794,Alderson Broaddus University,Alderson Broaddus,Southeast,5,170,2,Women,Philippi,West Virginia,54
795,East Central University,East Central,Southwest ,6,171,2,Women,Ada,Oklahoma,40
796,Malone University,Malone,Great Lakes ,3,171,2,Women,Canton,Ohio,39
797,,Oakland City,,0,173,2,Women,,,0
798,Northwood University,Northwood,Great Lakes ,3,174,2,Women,Midland,Michigan,26
799,Seton Hill University,Seton Hill,Mid East ,2,175,2,Women,Greensburg,Pennsylvania,42
800,,Southwestern Okla.,,0,176,2,Women,,,0
801,Chowan University,Chowan,Southeast,5,177,2,Women,Murfreesboro,North Carolina,37
802,Davenport University,Davenport,Great Lakes ,3,178,2,Women,Grand Rapids,Michigan,26
803,,Mo.-St. Louis,,0,179,2,Women,,,0
804,Chestnut Hill College,Chestnut Hill,Mid East ,2,180,2,Women,Philadelphia,Pennsylvania,42
805,,West Ga.,,0,181,2,Women,,,0
806,Harding University,Harding,Southeast,5,182,2,Women,Searcy,Arkansas,5
807,,Anderson (SC),,0,183,2,Women,,,0
808,,Cal St. Monterey Bay,,0,183,2,Women,,,0
809,University of Findlay,Findlay,Great Lakes ,3,185,2,Women,Findlay,Ohio,39
810,Caldwell University,Caldwell,Mid East ,2,186,2,Women,Caldwell,New Jersey,34
811,,Tex. A&M Int'l,,0,187,2,Women,,,0
812,Spring Hill College,Spring Hill,Southeast,5,188,2,Women,Mobile,Alabama,1
813,,Mont. St. Billings,,0,189,2,Women,,,0
814,St. Thomas Aquinas College,St. Thomas Aquinas,Mid East ,2,190,2,Women,Sparkill,New York,36
815,Southwest Baptist University,Southwest Baptist,Plains ,4,191,2,Women,Bolivar,Missouri,29
816,Lake Erie College,Lake Erie,Great Lakes ,3,192,2,Women,Painesville,Ohio,39
817,,CSU Pueblo,,0,193,2,Women,,,0
818,,Lees-McRae,,0,194,2,Women,,,0
819,,Slippery Rock,,0,195,2,Women,,,0
820,,Black Hills St.,,0,196,2,Women,,,0
821,Felician University,Felician,Mid East ,2,197,2,Women,Rutherford,New Jersey,34
822,,Missouri S&T,,0,198,2,Women,,,0
823,Lubbock Christian University,Lubbock Christian,Southwest ,6,199,2,Women,Lubbock,Texas,48
824,Mars Hill University,Mars Hill,Southeast,5,200,2,Women,Mars Hill,North Carolina,37
825,Gannon University,Gannon,Mid East ,2,201,2,Women,Erie,Pennsylvania,42
826,Daemen College,Daemen,Mid East ,2,202,2,Women,Amherst,New York,36
827,,Notre Dame de Namur,,0,203,2,Women,,,0
828,,Dominican (NY),,0,204,2,Women,,,0
829,Coker University,Coker,Southeast,5,205,2,Women,Hartsville,South Carolina,45
830,Simon Fraser University,Simon Fraser,,0,206,2,Women,Burnaby,British Columbia,
831,,Mississippi Col.,,0,207,2,Women,,,0
832,Academy of Art University,Academy of Art,Far West ,8,208,2,Women,San Francisco,California,6
833,Erskine College,Erskine,Southeast,5,209,2,Women,Due West,South Carolina,45
834,Post University,Post,New England ,1,210,2,Women,Waterbury,Connecticut,9
835,,Minn.-Crookston,,0,211,2,Women,,,0
836,,Adams St.,,0,212,2,Women,,,0
837,,MSU Moorhead,,0,213,2,Women,,,0
838,Holy Names University,Holy Names,Far West ,8,214,2,Women,Oakland,California,6
839,,UNC Pembroke,,0,215,2,Women,,,0
840,University of New Haven,New Haven,New England ,1,216,2,Women,West Haven,Connecticut,9
841,Franklin Pierce University,Franklin Pierce,New England ,1,217,2,Women,Rindge,New Hampshire,33
842,Shorter University,Shorter,Southeast,5,218,2,Women,Rome,Georgia,13
843,,Purdue Northwest,,0,219,2,Women,,,0
844,,San Fran. St.,,0,220,2,Women,,,0
845,,Lincoln (PA),,0,221,2,Women,,,0
846,,St. Mary's (TX),,0,222,2,Women,,,0
847,,Minnesota St.,,0,223,2,Women,,,0
848,,Urbana,,0,224,2,Women,,,0
849,Walsh University,Walsh,Great Lakes ,3,225,2,Women,North Canton,Ohio,39
850,,Lindenwood (MO),,0,226,2,Women,,,0
851,,Charleston (WV),,0,227,2,Women,,,0
852,Texas Woman's University,Texas Woman's,Southwest ,6,228,2,Women,Denton,Texas,48
853,,Clayton St.,,0,229,2,Women,,,0
854,,Salem (WV),,0,230,2,Women,,,0
855,,Northwestern Okla.,,0,231,2,Women,,,0
856,,Concordia (NY),,0,232,2,Women,,,0
857,,Angelo St.,,0,233,2,Women,,,0
858,,Albany St. (GA),,0,234,2,Women,,,0
859,,Wayne St. (NE),,0,235,2,Women,,,0
860,,Western Colo.,,0,236,2,Women,,,0
861,Roberts Wesleyan College,Roberts Wesleyan,Mid East ,2,237,2,Women,North Chili,New York,36
862,,Truman,,0,237,2,Women,,,0
863,,Central Mo.,,0,239,2,Women,,,0
864,Shaw University,Shaw,Southeast,5,240,2,Women,Raleigh,North Carolina,37
865,,Tex. Permian Basin,,0,241,2,Women,,,0
866,Washburn University,Washburn,Plains ,4,242,2,Women,Topeka,Kansas,20
867,,Queens (NY),,0,243,2,Women,,,0
868,,DBU,,0,244,2,Women,,,0
869,,Okla. Baptist,,0,245,2,Women,,,0
870,Ouachita Baptist University,Ouachita Baptist,Southeast,5,245,2,Women,Arkadelphia,Arkansas,5
871,Southern Nazarene University,Southern Nazarene,Southwest ,6,247,2,Women,Bethany,Oklahoma,40
872,,Southwest Minn. St.,,0,248,2,Women,,,0
873,,N.M. Highlands,,0,249,2,Women,,,0
874,Ursuline College,Ursuline,Great Lakes ,3,249,2,Women,Pepper Pike,Ohio,39
875,Nyack College,Nyack,Mid East ,2,251,2,Women,Nyack,New York,36
876,,Glenville St.,,0,252,2,Women,,,0
877,Belmont Abbey College,Belmont Abbey,Southeast,5,253,2,Women,Belmont,North Carolina,37
878,University of Montevallo,Montevallo,Southeast,5,254,2,Women,Montevallo,Alabama,1
879,,Eastern N.M.,,0,255,2,Women,,,0
880,,Clarion,,0,255,2,Women,,,0
881,,Emmanuel (GA),,0,255,2,Women,,,0
882,University of Sioux Falls,Sioux Falls,Plains ,4,255,2,Women,Sioux Falls,South Dakota,46
883,Upper Iowa University,Upper Iowa,Plains ,4,255,2,Women,Fayette,Iowa,19
884,,Dominican (CA),,0,255,2,Women,,,0
885,Fort Lewis College,Fort Lewis,Rocky Mountains ,7,255,2,Women,Durango,Colorado,8
886,,Northern St.,,0,255,2,Women,,,0
