Id,Full_School_Name,School,Full_Conference,Conference_id,Adj. RPI,Division,Type,City,State,State_id
379,Oral Roberts University,Oral Roberts,Southwest ,6,173,1,Women,Tulsa,Oklahoma,40
380,,Fresno St.,,0,174,1,Women,,,0
381,,Michigan St.,,0,175,1,Women,,,0
382,University of Hartford,Hartford,New England ,1,176,1,Women,West Hartford,Connecticut,9
383,High Point University,High Point,Southeast,5,177,1,Women,High Point,North Carolina,37
384,University of Dayton,Dayton,Great Lakes ,3,178,1,Women,Dayton,Ohio,39
385,,California Baptist,,0,179,1,Women,,,0
386,East Carolina University,East Carolina,Southeast,5,180,1,Women,Greenville,North Carolina,37
387,,Eastern Wash.,,0,181,1,Women,,,0
388,,Central Mich.,,0,182,1,Women,,,0
389,,Utah St.,,0,183,1,Women,,,0
390,University at Buffalo,Buffalo,Mid East ,2,184,1,Women,Buffalo,New York,36
391,Coastal Carolina University,Coastal Carolina,Southeast,5,185,1,Women,Conway,South Carolina,45
392,Drake University,Drake,Plains ,4,186,1,Women,Des Moines,Iowa,19
393,University of Tennessee at Martin,UT Martin,Southeast,5,187,1,Women,Martin,Tennessee,47
394,,Kansas St.,,0,188,1,Women,,,0
395,"University of Nevada, Las Vegas",UNLV,Far West ,8,189,1,Women,Paradise,Nevada,32
396,Howard University,Howard,,0,190,1,Women,Washington,District of Columbia,11
397,Bryant University,Bryant,New England ,1,191,1,Women,Smithfield,Rhode Island,44
398,,Southern Miss.,,0,192,1,Women,,,0
399,,SIUE,,0,193,1,Women,,,0
400,,LMU (CA),,0,194,1,Women,,,0
401,Fordham University,Fordham,Mid East ,2,195,1,Women,Bronx,New York,36
402,University of Wyoming,Wyoming,Rocky Mountains ,7,196,1,Women,Laramie,Wyoming,56
403,University of Montana,Montana,Rocky Mountains ,7,197,1,Women,Missoula,Montana,30
404,Oakland University,Oakland,Great Lakes ,3,198,1,Women,Rochester,Michigan,26
405,,A&M-Corpus Christi,,0,199,1,Women,,,0
406,Niagara University,Niagara,Mid East ,2,200,1,Women,Lewiston,New York,36
407,University of Kentucky,Kentucky,Southeast,5,201,1,Women,Lexington,Kentucky,21
408,,Louisiana,,0,202,1,Women,,,0
409,Belmont University,Belmont,Southeast,5,203,1,Women,Nashville,Tennessee,47
410,College of the Holy Cross,Holy Cross,New England ,1,204,1,Women,Worcester,Massachusetts,25
411,University of South Dakota,South Dakota,Plains ,4,205,1,Women,Vermillion,South Dakota,46
412,Ohio University,Ohio,Great Lakes ,3,206,1,Women,Athens,Ohio,39
413,University of California San Diego,UC San Diego,Far West ,8,1,2,Mens,San Diego,California,6
414,Lynn University,Lynn University,Southeast,5,2,2,Mens,Boca Raton,Florida,12
415,Lee University,Lee University,Southeast,5,3,2,Mens,Cleveland,Tennessee,47
416,Bellarmine University,Bellarmine,Southeast,5,4,2,Mens,Louisville,Kentucky,21
417,,North GeorgiaUniversity,,0,5,2,Mens,,,0
418,Lander University,Lander University,Southeast,5,6,2,Mens,Greenwood,South Carolina,45
419,,Wis.-Parkside,,0,7,2,Mens,,,0
420,Cedarville University,Cedarville,Great Lakes ,3,8,2,Mens,Cedarville,Ohio,39
421,,AUM,,0,9,2,Mens,,,0
422,,Carson-Newman,,0,10,2,Mens,,,0
423,,Southern N.H.,,0,11,2,Mens,,,0
424,Seattle Pacific University,Seattle Pacific,Far West ,8,12,2,Mens,Seattle,Washington,53
425,,Midwestern St.,,0,13,2,Mens,,,0
426,Quincy University,Quincy University,Great Lakes ,3,14,2,Mens,Quincy,Illinois,17
427,Biola University,Biola,Far West ,8,15,2,Mens,La Mirada,California,6
428,Nova Southeastern University,Nova Southeastern,Southeast,5,16,2,Mens,Davie,Florida,12
429,Rockhurst University,Rockhurst,Plains ,4,17,2,Mens,Kansas City,Missouri,29
430,Tusculum University,Tusculum,Southeast,5,18,2,Mens,Greeneville,Tennessee,47
431,"California State University, Chico",Chico St.,Far West ,8,19,2,Mens,Chico,California,6
432,,Tampa University,,0,20,2,Mens,,,0
433,Palm Beach Atlantic University,Palm Beach Atl.,Southeast,5,21,2,Mens,West Palm Beach,Florida,12
434,,Cal St. San B'dino,,0,22,2,Mens,,,0
435,,Dixie St.,,0,23,2,Mens,,,0
436,,Western Wash.,,0,24,2,Mens,,,0
437,,Ga. Southwestern,,0,25,2,Mens,,,0
438,Saint Michael's College,Saint Michael's,New England ,1,26,2,Mens,Colchester,Vermont,50
439,Young Harris College,Young Harris,Southeast,5,27,2,Mens,Young Harris,Georgia,13
440,Wingate University,Wingate University,Southeast,5,28,2,Mens,Wingate,North Carolina,37
441,,Cal State LA,,0,29,2,Mens,,,0
442,Assumption University,Assumption,New England ,1,30,2,Mens,Worcester,Massachusetts,25
443,,Southern Ind.,,0,31,2,Mens,,,0
444,,Colo. Sch. of Mines,,0,32,2,Mens,,,0
445,University of Alabama in Huntsville,Alabama Huntsville,Southeast,5,33,2,Mens,Huntsville,Alabama,1
446,University of New Haven,New Haven,New England ,1,34,2,Mens,West Haven,Connecticut,9
447,Adelphi University,Adelphi,Mid East ,2,35,2,Mens,Garden City,New York,36
448,,Rogers St.,,0,36,2,Mens,,,0
449,,Point Loma,,0,37,2,Mens,,,0
450,,Maryville (MO),,0,38,2,Mens,,,0
451,Azusa Pacific University,Azusa Pacific,Far West ,8,39,2,Mens,Azusa,California,6
452,St. Edward's University,St. Edward's,Southwest ,6,40,2,Mens,Austin,Texas,48
453,Barton College,Barton,Southeast,5,41,2,Mens,Wilson,North Carolina,37
454,McKendree University,McKendree,Great Lakes ,3,42,2,Mens,Lebanon,Illinois,17
455,,Hawaii Hilo,,0,43,2,Mens,,,0
456,,Fort Hays St.,,0,44,2,Mens,,,0
457,Holy Family University,Holy Family,Mid East ,2,45,2,Mens,Philadelphia,Pennsylvania,42
458,,East Stroudsburg,,0,46,2,Mens,,,0
459,,Stanislaus St.,,0,47,2,Mens,,,0
460,,Lenoir-Rhyne,,0,48,2,Mens,,,0
461,West Chester University,West Chester,Mid East ,2,49,2,Mens,West Chester,Pennsylvania,42
462,,Florida Tech,,0,50,2,Mens,,,0
463,,Northern Mich.,,0,51,2,Mens,,,0
464,Simon Fraser University,Simon Fraser,,0,52,2,Mens,Burnaby,British Columbia,
465,,Lock Haven,,0,53,2,Mens,,,0
466,Davis & Elkins College,Davis & Elkins,Southeast,5,54,2,Mens,Elkins,West Virginia,54
467,,Notre Dame (OH),,0,55,2,Mens,,,0
468,,USC Aiken,,0,56,2,Mens,,,0
469,,Cal St. San Marcos,,0,57,2,Mens,,,0
470,Mercy College,Mercy,Mid East ,2,58,2,Mens,Dobbs Ferry,New York,36
471,Rollins College,Rollins,Southeast,5,59,2,Mens,Winter Park,Florida,12
472,,Cal Poly Pomona,,0,60,2,Mens,,,0
473,,UIndy,,0,61,2,Mens,,,0
474,Barry University,Barry,Southeast,5,62,2,Mens,Miami Shores,Florida,12
475,,Fla. Southern,,0,63,2,Mens,,,0
476,,Southern Conn. St.,,0,64,2,Mens,,,0
477,Tiffin University,Tiffin,Great Lakes ,3,65,2,Mens,Tiffin,Ohio,39
478,Harding University,Harding,Southeast,5,66,2,Mens,Searcy,Arkansas,5
479,,Texas-Tyler,,0,67,2,Mens,,,0
480,,Regis (CO),,0,68,2,Mens,,,0
481,,Ill. Springfield,,0,69,2,Mens,,,0
482,,Wilmington (DE),,0,70,2,Mens,,,0
483,Christian Brothers University,Christian Brothers,Southeast,5,71,2,Mens,Memphis,Tennessee,47
484,,MSU Denver,,0,72,2,Mens,,,0
485,,Embry-Riddle (FL),,0,73,2,Mens,,,0
486,Drury University,Drury,Plains ,4,74,2,Mens,Springfield,Missouri,29
487,Post University,Post,New England ,1,75,2,Mens,Waterbury,Connecticut,9
488,,Jefferson,,0,76,2,Mens,,,0
489,,Westminster (UT),,0,77,2,Mens,,,0
490,,Humboldt St.,,0,78,2,Mens,,,0
491,Saint Leo University,Saint Leo,Southeast,5,79,2,Mens,St. Leo,Florida,12
492,Lincoln Memorial University,Lincoln Memorial,Southeast,5,80,2,Mens,Harrogate,Tennessee,47
493,,Queens (NC),,0,81,2,Mens,,,0
